acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.995,{'Carl Woitschach'},0.708,158648,0.195,0,6KbQ3uYMLKb5jDxLF7wYDD,0.563,10,0.151,-12.428,1,Singende Bataillone 1. Teil,0,1928-01-01,0.0506,118.469,0.779,1928
0.991,{'Ignacio Corsini'},0.545,168653,0.133,0,3yZj8i9TwsWAVmBWKdMbaa,0.444,7,0.115,-20.53,0,Cobardia - Remasterizado,0,1930-06-21,0.127,185.062,0.691,1930
0.565,"{'Sinclair Lewis', 'Frank Arnold'}",0.722,273072,0.252,0,4h8gqHQ6pdgXWqElxBSGeo,0.0,5,0.16899999999999998,-14.629,0,"Das ist bei uns nicht möglich, Kapitel 5",0,1935-01-01,0.938,126.048,0.456,1935
0.978,"{'Ludwig van Beethoven', 'Wiener Philharmoniker', 'Herbert von Karajan'}",0.324,446000,0.339,0,4EafdWyeDb7Xlvhs7Xgca8,0.875,0,0.138,-14.29,0,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",0,1936-01-01,0.0491,100.55,0.242,1936
0.968,{'Ying Yin Wu'},0.5379999999999999,167667,0.313,0,2TCHu1TbS9GNE3ULxJWqwa,1.47e-06,0,0.0859,-8.904,1,風流債,1,1940-02-01,0.0317,80.211,0.625,1940
0.988,"{'Charles Koechlin', 'Bidu Sayão'}",0.395,94600,0.0509,0,528sYMqo03AtUAQcj1wlHS,0.000118,9,0.0803,-19.686,1,Si tu le veux!,0,1942-01-01,0.0465,96.78,0.183,1942
0.0905,{'Эрих Мария Ремарк'},0.7120000000000001,103200,0.181,1,2q5FlK299A35aDN4ufo6XT,1.59e-05,5,0.0715,-21.36,0,Часть 156.5 & Часть 157.1 - Триумфальная арка,0,1945-01-01,0.8190000000000001,127.172,0.457,1945
0.993,"{'Robert Schumann', 'Maryla Jonas'}",0.379,40120,0.396,0,50fu6sdcaguNf0Xm5cPOH9,0.953,2,0.0845,-15.268,1,"Kinderszenen, Op. 15: 5. Glückes genug",0,1946-01-01,0.0419,102.343,0.491,1946
0.995,{'Zafar Khurshid'},0.731,178631,0.163,0,56Q2aNM1WWQhXwcWQYbuHk,0.00719,5,0.0943,-9.698,1,Nai Baharen Aai,0,1947-12-31,0.243,123.382,0.843,1947
0.994,"{'John Stafford Smith', 'Igor Stravinsky', 'CBC Symphony Orchestra'}",0.311,83093,0.14300000000000002,0,48U33WgDS5EEUKEhMT9Zwt,0.911,10,0.115,-12.392,1,The Star-Spangled Banner,0,1948-01-01,0.0324,85.126,0.471,1948
0.972,"{'Sergei Prokofiev', 'Isaac Stern'}",0.466,110840,0.0111,0,1qBI0F4qSYG31GdVw5vIu4,0.7170000000000001,4,0.105,-31.184,0,"Romeo and Juliet, Op. 75: 9. Dance of the Girls With Lilies",0,1949-01-01,0.0506,116.155,0.196,1949
0.978,"{'Νίκος Τζουγάνος', 'Αλέκος Καραβίτης'}",0.47,216213,0.35200000000000004,0,0vXEDaNqu50bi9Va572lQ9,0.332,6,0.185,-12.423,1,Συρτός Κισσάμου,0,1950-01-01,0.0332,82.146,0.872,1950
0.767,"{'Johannes Brahms', 'Pierre Monteux'}",0.264,510760,0.516,0,1KIOppMpY7eSPzhG7cob7n,0.8640000000000001,2,0.32299999999999995,-7.401,1,"Symphony No. 2 in D Major, Op. 73: IV. Allegro con spirito",0,1951-01-01,0.0325,108.563,0.36,1951
0.926,"{'Richard Wagner', 'Inge Borkh', 'Günther Treptow', 'Hans Hotter', 'Ira Malaniuk', 'Josef Greindl And Astrid Varnay'}",0.224,344667,0.2,0,1EUH4OBQ5Eac5mxyHASc4A,2.35e-06,0,0.6609999999999999,-17.535999999999998,0,Die Walkure : Aus Dem Wald Trieb Es Mich Fort,0,1952-01-01,0.0502,84.569,0.11,1952
0.994,"{'Jairam Shiledar', 'Lata Mangeshkar'}",0.51,183600,0.127,0,12CWFCFAWkkc3vPOG19dVK,0.917,7,0.116,-15.086,1,Vithal Maaza Jeev,0,1953-12-31,0.113,63.502,0.519,1953
0.991,{'Oscar Peterson'},0.436,158182,0.0744,0,6Limxo2wJuYL2WrtdewfKg,0.962,5,0.0956,-22.537,1,Time On My Hands,2,1954-02-07,0.0322,73.579,0.256,1954
0.935,{'Dave Brubeck'},0.612,397533,0.0272,0,6UkJIDGuGv1CyJeAakb3Jj,0.0855,10,0.0787,-22.361,0,Georgia On My Mind,4,1955-01-01,0.0508,62.195,0.121,1955
0.387,{'Lord Cristo'},0.511,120960,0.245,0,0irnJklasJ1rtQorlM4f20,0.0,4,0.284,-20.012,1,Last Night the Landlord Nearly Killed Me,12,1956-01-01,0.337,92.163,0.8170000000000001,1956
0.993,"{'Johann Sebastian Bach', 'Glenn Gould'}",0.476,78427,0.395,0,69RoHsh1PqtqKnrWy36MZl,0.878,4,0.109,-17.486,0,"Three Little Fugues from Klavierbüchlein für Wilhelm Bach: Fugue in C Major, BWV 953",19,1957-01-01,0.0536,119.566,0.972,1957
0.7090000000000001,"{'Billie Holiday', 'Ray Ellis & His Orchestra'}",0.305,203733,0.16,0,38YV43s75rETyFK70bQKPw,7.68e-05,9,0.642,-19.347,0,I'm a Fool to Want You (with Ray Ellis & His Orchestra) - Take 2 [Alternate],18,1958-06-01,0.0417,129.561,0.335,1958
0.823,{'Ray Charles'},0.505,164666,0.17,0,4grD2NkyBWSjo15u0muqA2,2.87e-05,3,0.0619,-12.848,1,It Had to Be You,10,1959-01-01,0.0325,82.88799999999998,0.305,1959
0.657,{'Bobby Vee'},0.486,141840,0.228,0,7BjfhLDrFRE6omVIMzY8Fq,0.0,2,0.129,-12.364,1,Since I Met You Baby,16,1960-01-01,0.0275,87.333,0.617,1960
0.848,{'Little Richard'},0.483,158586,0.27,0,2Vwxs0FYxqBOGIzzXoZRq8,0.0,7,0.191,-14.921,1,He's Not Just A Soldier,14,1961-03-12,0.0278,88.64399999999998,0.517,1961
0.8270000000000001,{'Johnny Cash'},0.491,135413,0.369,0,6KMZLiIL7aocI79d5BW2Rt,6.330000000000001e-05,5,0.145,-11.148,1,Mr. Lonesome,14,1962-08-01,0.029,104.0,0.428,1962
0.499,{'Los Rurales De Gilberto Parra'},0.7070000000000001,173933,0.779,0,2Rj2FPiSEN8yw6Gi0iqKcK,0.897,0,0.314,-6.367000000000001,1,Santa Rita,22,1963-10-22,0.0479,127.707,0.979,1963
0.21600000000000005,{'The Beach Boys'},0.516,92733,0.797,0,5W6NMQ8j1cdzjDQTm4kvJi,0.000168,8,0.0515,-8.242,1,Pom Pom Play Girl - Remastered 2001,20,1964-03-02,0.0331,152.007,0.968,1964
0.674,{'Astrud Gilberto'},0.568,129613,0.317,0,6WGgyJqASKK3cQlu11pFYC,0.14800000000000002,9,0.314,-16.534000000000002,1,O Ganso,25,1965-05-22,0.0552,86.85600000000002,0.934,1965
